Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
396,DDfd4ff0c07E171,Palmer Ltd,https://phelps.com/,Nicaragua,Front-line hybrid benchmark,1975,Environmental Services,1812
397,cFe7E3AeA75BABb,Rasmussen-Archer,https://www.parrish.com/,Saint Lucia,Multi-layered intangible hardware,1979,Hospital / Health Care,5241
398,ddf86CaB8EA7e6b,Hill PLC,http://pruitt.com/,Somalia,Inverse discrete challenge,1985,Information Technology / IT,4535
399,Aa61FE9CdD2FeAd,"Conrad, Maxwell and Coleman",https://gordon.com/,Myanmar,Extended intangible model,1996,Printing,4020
400,34ab27Db6BEb22A,Figueroa-Meyer,https://www.sullivan-oneal.com/,Comoros,Organized stable approach,1970,Building Materials,8974
401,7aebCcC3eDD31F6,"Hale, Larsen and Hodges",https://www.morton.org/,Lao People's Democratic Republic,Upgradable well-modulated project,2012,Think Tanks,8277
402,132c7A35d5ebFcb,"Lam, Barnett and Murphy",http://mercado-gregory.com/,Egypt,Persevering interactive alliance,2012,Packaging / Containers,4177
403,81F723C2ED518B8,Villanueva-Lowery,http://www.allen-cline.info/,Comoros,Intuitive system-worthy utilization,1970,Philanthropy,3404
404,eBCA6aAdee3C5F7,"Wilkinson, Holloway and Dickson",http://gillespie.biz/,Gibraltar,Visionary bifurcated hardware,2007,Other Industry,2002
405,Cf3AfeE8334CBbD,"Warner, Anderson and Cowan",https://newton-blair.com/,Guinea-Bissau,Grass-roots human-resource data-warehouse,1986,Gambling / Casinos,6592
406,FcdE03f9Dcc351c,Kline Ltd,https://www.morales.org/,Sudan,Down-sized bi-directional solution,2002,Cosmetics,2320
407,E4859F58af873DE,"Brock, Foster and Hull",https://www.mcclain.net/,San Marino,Seamless intermediate hierarchy,1992,Judiciary,1029
408,1815f1Cb7FF26DC,Bates LLC,https://www.juarez.info/,Liberia,Adaptive high-level emulation,1994,Executive Office,3648
409,f7F922C29D03e87,"Lam, Wilcox and Krueger",https://www.lloyd.com/,Bhutan,Synergized impactful solution,1982,Law Enforcement,9762
410,14898CabF14c21B,"Snow, Acevedo and Keith",https://www.serrano-bender.info/,Kyrgyz Republic,Innovative 3rdgeneration analyzer,1990,Graphic Design / Web Design,2663
411,d1eB0d262cAcdd5,Mccall-Todd,https://www.jenkins.org/,Haiti,Persistent solution-oriented policy,1987,Other Industry,9017
412,37D9C4Fa7eCA9F4,Zuniga Group,https://www.logan.net/,Macedonia,Multi-channeled disintermediate framework,1982,Staffing / Recruiting,8993
413,c06770fEdC2fdAE,Vargas-Gould,https://www.ballard.com/,Andorra,Mandatory neutral workforce,1972,Design,5701
414,F2DABBf351F77FB,"Mathis, Chaney and Caldwell",http://www.casey.com/,Taiwan,Enterprise-wide eco-centric application,1996,Information Services,6600
415,91EDCDed7F7e762,"Everett, Carr and Blankenship",http://howard-clay.org/,Puerto Rico,Upgradable cohesive toolset,1987,Political Organization,4968
416,3D92cD46EB37F6F,"Ruiz, Fuentes and Melton",https://flynn.com/,Malaysia,Expanded methodical contingency,1984,Legal Services,6817
417,6FDfB331Ec29AAD,Anderson-Peterson,https://www.garrison.com/,Cape Verde,Balanced asymmetric capability,2002,Events Services,9782
418,9bE57f3E4d33e64,Sparks and Sons,https://bridges-white.com/,United States of America,Persevering static implementation,2008,Fundraising,7873
419,EBA2248d38AA97d,Pena LLC,http://myers.com/,Saint Helena,Digitized explicit support,1978,Fundraising,5143
420,6ab8CDAEcC9ADb2,"Lewis, Chang and Abbott",https://butler-shaffer.com/,Niger,Seamless next generation monitoring,1982,Computer Networking,6727
421,Da4E1fEf79c54B2,"Madden, Key and Saunders",https://www.salas.com/,French Guiana,Sharable zero tolerance capacity,2011,Think Tanks,7782
422,F23FAe55B3Ad9dC,Elliott-Leblanc,http://www.macias.com/,Monaco,Visionary human-resource superstructure,1977,Banking / Mortgage,4395
423,A6cBe57CDbc87c2,Hull Ltd,http://raymond.org/,United Arab Emirates,Face-to-face user-facing function,1983,Venture Capital / VC,8174
424,8518A85423e3Dd1,"Meyers, Henry and Obrien",http://www.bentley.com/,South Georgia and the South Sandwich Islands,Intuitive static focus group,2015,Translation / Localization,1868
425,8bF93Ebee6e5BCe,Bray Inc,http://wells.net/,Kazakhstan,Object-based incremental frame,1999,Sports,610
426,41ae16Fab19E041,Adams-Pierce,https://greene.net/,Tajikistan,Secured content-based support,1998,Semiconductors,1535
427,9D9dd66fb2609b2,"Miller, Ramsey and Hatfield",http://terrell-franco.com/,Cape Verde,Right-sized intangible hub,1975,Research Industry,2008
428,160E4CF42dDFb1F,"Mack, Johnson and Haynes",https://fuller.com/,Rwanda,Progressive full-range pricing structure,1983,Glass / Ceramics / Concrete,2397
429,a7eCBF8E35B8B16,Mccann Inc,https://rice.info/,Portugal,Quality-focused grid-enabled knowledgebase,2000,Architecture / Planning,9877
430,Ca990F7B20029AD,Frye Group,http://reynolds.net/,Armenia,Function-based demand-driven portal,1990,Gambling / Casinos,6718
431,2BAbd14b15E6b73,George-Knox,http://www.sullivan-bautista.biz/,Australia,Networked tangible process improvement,2021,Leisure / Travel,29
432,1B6A3057EC71e4a,Mcknight-Randolph,http://gallegos.com/,Sierra Leone,Open-architected local system engine,2013,Architecture / Planning,7733
433,FBD1cA0AFF043df,Berry-Koch,http://www.campos.net/,Guinea,Cross-platform impactful analyzer,1988,Transportation,3212
434,8aEa9A19068f77E,Mccall Ltd,http://www.glover.com/,Tonga,Implemented heuristic toolset,2008,Other Industry,3498
435,c48dcDEC3a4a2F8,"Scott, Meyer and Barker",http://www.callahan.net/,Gambia,Devolved user-facing Graphic Interface,1984,Health / Fitness,8357
436,5663f8b3D616AeA,Booth PLC,http://www.gregory.com/,Gambia,Pre-emptive systematic extranet,2000,Logistics / Procurement,6075
437,cD185fAD7EcFD6e,"Frye, Allison and Mcguire",https://stanton-perez.com/,Yemen,Organized mobile knowledgebase,1976,Program Development,3716
438,AEB4A2fE4EDea5b,"Parker, Rivers and Mcdonald",https://petersen.com/,India,Switchable eco-centric project,2022,Civil Engineering,5518
439,d94d5Af50FbD0d7,Kent Ltd,https://ramos.biz/,Brazil,Ameliorated explicit Graphical User Interface,2021,Government Administration,7918
440,375d34F81cdcDED,Owen-Strong,https://hernandez.com/,Timor-Leste,Synergized uniform framework,1999,Sporting Goods,6410
441,da523F80669fEC3,"Weeks, George and Haynes",http://www.roth.net/,Anguilla,Team-oriented eco-centric paradigm,1989,Judiciary,2619
442,Ccae2Cdee4eE4E2,"Richards, Oneill and Conley",https://dean-gentry.com/,Micronesia,Extended encompassing extranet,1985,Medical Equipment,6342
443,1fE4689cE4D4D6F,"Henson, Cline and Garrison",http://harrell.net/,Luxembourg,Polarized multi-tasking frame,1994,Computer Networking,4513
444,410C2Ce5803eFdB,"Henry, Savage and Frey",https://odom-savage.org/,Jersey,Universal intangible architecture,1993,Program Development,4905
445,E4c6a5F43EE6cF5,Juarez Group,https://www.waller-george.com/,Bahamas,Optional 3rdgeneration capability,1991,Non - Profit / Volunteering,2299
446,01Eff3ADCd63B5D,"Mcguire, Case and Oneill",http://www.mendez-cohen.net/,Libyan Arab Jamahiriya,Synchronized object-oriented challenge,1993,Consumer Electronics,3661
447,98E5EC7f5F27d84,"Moran, Bullock and Robbins",http://www.estrada.com/,Holy See (Vatican City State),Seamless content-based middleware,1995,Law Enforcement,2737
448,D9aD8Be81CaA4BD,"Beasley, Wiggins and Salazar",https://www.mcdonald-rivers.biz/,Korea,Profound background secured line,2010,Import / Export,7884
449,03dF209D36dDEbB,"Owen, Villanueva and Baird",http://www.deleon.com/,El Salvador,Enterprise-wide leadingedge firmware,1996,Veterinary,2878
450,2b9AccAc1dd1fEB,Haas LLC,http://www.pratt.com/,Ethiopia,Reactive methodical function,1970,Package / Freight Delivery,6370
451,2F059FbDC95a8e7,"Sanford, Christensen and Callahan",https://www.mcdowell.com/,Micronesia,Re-contextualized neutral info-mediaries,2011,Civil Engineering,4452
452,D1FaC952Dd81aca,Mcintyre LLC,http://www.novak.com/,Netherlands,Mandatory uniform product,1992,Oil / Energy / Solar / Greentech,4233
453,3CFCEA517928d6f,Kirby-Boyd,http://sutton.net/,Congo,Optional secondary policy,1978,Tobacco,4539
454,54522BA477384fE,"Berry, Payne and Parrish",https://www.snyder-vazquez.biz/,Angola,Sharable encompassing conglomeration,1994,Electrical / Electronic Manufacturing,3636
455,4EDAbfB3dA0D7C5,Russell LLC,http://www.odonnell.net/,Bulgaria,Implemented mission-critical moderator,1975,Glass / Ceramics / Concrete,2178
456,B8E2eA5abD3B6b0,"Holmes, Blair and Freeman",https://ballard-hendrix.com/,Belgium,Re-contextualized radical benchmark,1985,Plastics,9675
457,549Ae67Bee8D5Bb,Williamson-Burton,http://www.nixon.biz/,Ethiopia,Seamless discrete adapter,2001,Computer Networking,9853
458,0C7643a6b76Df07,Hays LLC,https://www.rodgers.net/,Slovakia (Slovak Republic),Intuitive even-keeled synergy,2006,Wireless,3654
459,34AFDBc55FD4c56,Williams Inc,https://www.calhoun-guerrero.com/,Singapore,Centralized local intranet,2004,Food / Beverages,3835
460,0E688f3fC8DcdBe,Watkins Group,https://mcbride-lowe.info/,Burkina Faso,Progressive object-oriented complexity,1995,Computer Hardware,9456
461,CB7cF4DB6456b8A,"Mccoy, Malone and Johns",http://www.briggs.com/,Philippines,Synergistic client-driven artificial intelligence,2013,Oil / Energy / Solar / Greentech,9846
462,B318CC8fC1FD8a9,Briggs-Vega,http://www.sharp-henson.net/,Barbados,Persistent radical complexity,2015,Food / Beverages,5152
463,9DDedAdEcced809,Zamora LLC,https://donaldson.com/,Austria,Secured optimal superstructure,2001,Textiles,2711
464,DC6951EC0B7909c,Conway-Santana,http://costa-solomon.net/,New Zealand,Compatible context-sensitive initiative,1974,Commercial Real Estate,6390
465,bD8a2a8fF966446,"Cervantes, Carson and Dudley",http://haley.com/,Saudi Arabia,Multi-tiered zero administration knowledge user,1990,Textiles,8519
466,F7dEDF9a849cd0f,"Mahoney, Mcneil and Bradford",http://www.chen-walker.com/,Aruba,Synergistic logistical frame,2012,Marketing / Advertising / Sales,2835
467,ADCDa64Ca9CfF30,"Mccormick, Harrison and Kramer",https://crosby.com/,Afghanistan,Object-based 6thgeneration productivity,2010,Electrical / Electronic Manufacturing,6506
468,7C57DCecFBe8D90,"Smith, Davenport and Whitney",https://wright-acevedo.com/,Norfolk Island,Implemented next generation orchestration,1986,Government Administration,9239
469,A7a93c9e0e4F4a3,Watson LLC,http://www.andrade.net/,Tokelau,Expanded modular forecast,2002,Hospitality,5413
470,502a24CDF49E1e7,Greer PLC,https://www.charles-ferguson.net/,Faroe Islands,Seamless well-modulated parallelism,2022,Supermarkets,2145
471,126eB3717D0AeB6,"Hughes, Dudley and Everett",https://evans.net/,Yemen,Business-focused real-time attitude,2000,Judiciary,3344
472,c4112055D6FfFEC,Ray-Dougherty,http://www.robinson.com/,Spain,Distributed mobile extranet,1988,Fundraising,3263
473,4157f5aaC925bc1,"Santana, Scott and Pierce",http://www.ritter-raymond.biz/,Belgium,Grass-roots asymmetric forecast,1971,Medical Equipment,1034
474,f3bc96FDEcbCBB7,Wolfe-Heath,https://www.norris.net/,Tanzania,Virtual systematic system engine,1992,Philanthropy,797
475,f79DeC7Ce34FAed,Gould-Freeman,https://www.howell.net/,Ukraine,Ergonomic coherent task-force,2017,Medical Practice,1028
476,fa58bbdAB66B5d7,"Kemp, Baldwin and Montes",http://pittman.org/,American Samoa,Synergistic tertiary service-desk,2004,Apparel / Fashion,4004
477,cEF3d4ea07cC7a2,Black-Foster,https://hill-dillon.com/,French Polynesia,Ergonomic optimal paradigm,2000,Individual / Family Services,8514
478,7fcfB45d882fF18,"Sanchez, Nolan and Saunders",https://nichols.com/,Botswana,Diverse directional project,2014,Shipbuilding,8148
479,31DD6bEAa1de3Ec,Donaldson Group,http://www.craig.org/,Czech Republic,Up-sized eco-centric emulation,1973,Restaurants,6128
480,A815de62e9399d4,Mahoney Inc,https://good.com/,Cote d'Ivoire,Virtual 4thgeneration concept,1999,Information Technology / IT,8033
481,3b2eCfc42ff4D29,Atkinson-Glass,http://www.mcknight.com/,Tunisia,Open-architected foreground success,1972,Executive Office,1657
482,DA7aC38DBe0Ff15,Gutierrez PLC,https://mcintyre.com/,Czech Republic,Self-enabling multimedia website,1993,Performing Arts,5108
483,4dE7986D72d4ACA,Mcdonald-Horne,https://www.jordan.biz/,Paraguay,Fundamental exuding matrices,2019,Transportation,4374
484,Af4D8BaB4aA1a5E,"Blake, Parsons and Contreras",http://www.olsen.com/,Kenya,Streamlined 24hour synergy,1986,Fishery,3944
485,ec2b18fb6FCcceA,Nichols Group,http://kline.com/,Malawi,Profit-focused zero-defect definition,1995,Leisure / Travel,5387
486,3a0176f7Ab51c22,"Foster, Obrien and Hodges",http://www.hale.com/,Barbados,Automated dedicated functionalities,2003,Investment Banking / Venture,9182
487,7BBAb85fbfdcEA7,Bowman Ltd,https://www.henry.com/,Bahrain,Pre-emptive web-enabled array,2001,Staffing / Recruiting,4370
488,ccec04b3fE858e3,Booker-Hogan,https://mclean-dorsey.com/,Iceland,Advanced clear-thinking monitoring,2011,Pharmaceuticals,7486
489,A83a4EAA9cc943c,"Barrera, Mcgee and Haynes",http://www.allison.com/,Netherlands,Decentralized exuding website,2003,Individual / Family Services,6156
490,accfB3dCBfb7720,Valdez-Aguirre,http://baker.com/,Guinea-Bissau,Vision-oriented content-based workforce,1983,Electrical / Electronic Manufacturing,9009
491,836DDEEFcdFc8e9,"Solomon, Francis and Spence",http://www.davila.com/,Lithuania,Future-proofed analyzing time-frame,1980,Public Safety,323
492,Fecfbcb5CCF248A,"Conway, Bryan and Duarte",https://howe.com/,Marshall Islands,Expanded optimal frame,1999,Electrical / Electronic Manufacturing,5680
493,dc8B4DEB7Bb0F14,Curry-Warner,http://www.hooper-duran.com/,Costa Rica,Balanced eco-centric function,2007,Newspapers / Journalism,8106
494,ecC79D0bc5D7f43,"Nicholson, Townsend and Huber",http://lewis.com/,Liberia,Multi-lateral hybrid hub,2007,Government Relations,9232
495,6D2Ea544bb8e68a,Wilkerson and Sons,http://www.frederick.biz/,Gibraltar,Multi-channeled demand-driven toolset,2009,Public Safety,2758
496,01c787e957A3e8C,Berry-Norton,https://www.hooper-cantrell.com/,Cameroon,Open-source real-time benchmark,2010,Construction,4219
497,00DdBda1Ee4609F,"Mills, Baird and Johnston",http://www.deleon.net/,Cambodia,Front-line logistical hub,2001,Luxury Goods / Jewelry,3612
498,9Dcf8d0af1FF628,Tyler-Ballard,http://www.coffey.com/,Lebanon,Reactive dynamic access,1976,Civic / Social Organization,4694
499,95AdfDeD9870b5e,Mora Group,http://hall-cisneros.org/,Spain,Reduced global intranet,1980,Wireless,5352
500,6F1FeAd1b0E2f9E,Gillespie-Arias,http://gray-mcdaniel.com/,Equatorial Guinea,Face-to-face client-server hardware,1985,Wholesale,1183
